month,fedvalue,nadvalue,djokvalue
Jan-03,0,0,0
Jun-03,0,0,0
Jul-03,1,0,0
Sep-03,1,0,0
Jan-04,2,0,0
Jun-04,2,0,0
Jul-04,3,0,0
Sep-04,4,0,0
Jan-05,4,0,0
Jun-05,4,1,0
Jul-05,5,1,0
Sep-05,6,1,0
Jan-06,7,1,0
Jun-06,7,2,0
Jul-06,8,2,0
Sep-06,9,2,0
Jan-07,10,2,0
Jun-07,10,3,0
Jul-07,11,3,0
Sep-07,12,3,0
Jan-08,12,3,1
Jun-08,12,4,1
Jul-08,12,5,1
Sep-08,13,5,1
Jan-09,13,6,1
Jun-09,14,6,1
Jul-09,15,6,1
Sep-09,15,6,1
Jan-10,16,6,1
Jun-10,16,7,1
Jul-10,16,8,1
Sep-10,16,9,1
Jan-11,16,9,2
Jun-11,16,10,2
Jul-11,16,10,3
Sep-11,16,10,4
Jan-12,16,10,5
Jun-12,16,11,5
Jul-12,17,11,5
Sep-12,17,11,5
Jan-13,17,11,6
Jun-13,17,12,6
Jul-13,17,12,6
Sep-13,17,13,6
Jan-14,17,13,6
Jun-14,17,14,6
Jul-14,17,14,7
Sep-14,17,14,7
Jan-15,17,14,8
Jun-15,17,14,8
Jul-15,17,14,9
Sep-15,17,14,10
Jan-16,17,14,11
Jun-16,17,14,12
Jul-16,17,14,12
Sep-16,17,14,12
Jan-17,18,14,12
Jun-17,18,15,12
Jul-17,19,15,12
Sep-17,19,16,12
Jan-18,20,16,12
Jun-18,20,17,12
Jul-18,20,17,13
Sep-18,20,17,14
Jan-19,20,17,15
Jun-19,20,18,15
Jul-19,20,18,16
Sep-19,20,19,16
Jan-20,20,19,17
Aug-20,20,19,17
Oct-20,20,20,17
Jan-21,20,20,18
Jun-21,20,20,19
July-21,20,20,20
